,colormap,zoom level,COG,ZARR
0,0.0,9.0,0.394838,0.658401
1,0.0,10.0,0.439799,0.463484
2,0.0,11.0,0.041627,0.369488
3,0.0,12.0,0.303466,0.427397
4,0.0,13.0,0.290663,0.425885
5,0.0,14.0,0.181372,0.424924
6,0.0,15.0,0.150875,0.462534
7,0.0,16.0,0.164387,0.433673
8,0.0,17.0,0.13056,0.432165
9,0.0,18.0,0.143846,0.510326
10,1.0,9.0,0.043463,0.491529
11,1.0,10.0,0.25822,0.434235
12,1.0,11.0,0.418161,0.455505
13,1.0,12.0,0.301036,0.534805
14,1.0,13.0,0.232503,0.396609
15,1.0,14.0,0.179838,0.373184
16,1.0,15.0,0.151199,0.354076
17,1.0,16.0,0.20536,0.399527
18,1.0,17.0,0.142539,0.426862
19,1.0,18.0,0.184041,0.372216
20,0.0,9.0,0.193122,0.438113
21,0.0,10.0,0.289567,0.496895
22,0.0,11.0,0.033783,0.313203
23,0.0,12.0,0.203784,0.310688
24,0.0,13.0,0.179471,0.315994
25,0.0,14.0,0.145277,0.360289
26,0.0,15.0,0.143838,0.358503
27,0.0,16.0,0.134909,0.393066
28,0.0,17.0,0.137646,0.38792
29,0.0,18.0,0.130629,0.385544
30,1.0,9.0,0.237852,0.480361
31,1.0,10.0,0.162108,0.393526
32,1.0,11.0,0.138333,0.325619
33,1.0,12.0,0.257279,0.447315
34,1.0,13.0,0.254642,0.357694
35,1.0,14.0,0.202078,0.367021
36,1.0,15.0,0.167545,0.39776
37,1.0,16.0,0.13225,0.362917
38,1.0,17.0,0.140138,0.355474
39,1.0,18.0,0.024655,0.388799
40,0.0,9.0,0.043441,0.404482
41,0.0,10.0,0.262789,0.476887
42,0.0,11.0,0.259282,0.433782
43,0.0,12.0,0.220221,0.369097
44,0.0,13.0,0.180082,0.377813
45,0.0,14.0,0.167285,0.336145
46,0.0,15.0,0.167545,0.322898
47,0.0,16.0,0.146574,0.359231
48,0.0,17.0,0.135987,0.363722
49,0.0,18.0,0.02507,0.361282
50,1.0,9.0,0.246243,0.447035
51,1.0,10.0,0.14055,0.366034
52,1.0,11.0,0.006799,0.229243
53,1.0,12.0,0.285233,0.488299
54,1.0,13.0,0.222605,0.501586
55,1.0,14.0,0.145626,0.406304
56,1.0,15.0,0.02455,0.459074
57,1.0,16.0,0.168575,0.387426
58,1.0,17.0,0.140742,0.403099
59,1.0,18.0,0.140229,0.41341
60,0.0,9.0,0.195379,0.43206
61,0.0,10.0,0.010758,0.249062
62,0.0,11.0,0.007269,0.252821
63,0.0,12.0,0.326502,0.411288
64,0.0,13.0,0.302261,0.450382
65,0.0,14.0,0.157461,0.45594
66,0.0,15.0,0.140619,0.428523
67,0.0,16.0,0.171679,0.386711
68,0.0,17.0,0.025901,0.425127
69,0.0,18.0,0.154771,0.377266
70,1.0,9.0,0.010595,0.236326
71,1.0,10.0,0.007714,0.24478
72,1.0,11.0,0.160719,0.419809
73,1.0,12.0,0.254597,0.371469
74,1.0,13.0,0.337209,0.430203
75,1.0,14.0,0.161166,0.381341
76,1.0,15.0,0.14204,0.424744
77,1.0,16.0,0.173754,0.389713
78,1.0,17.0,0.02526,0.393058
79,1.0,18.0,0.125959,0.398454
80,0.0,9.0,0.046414,0.540564
81,0.0,10.0,0.263235,0.456525
82,0.0,11.0,0.041806,0.411806
83,0.0,12.0,0.222343,0.389303
84,0.0,13.0,0.259898,0.418965
85,0.0,14.0,0.2695,0.391475
86,0.0,15.0,0.136613,0.44295
87,0.0,16.0,0.147334,0.42275
88,0.0,17.0,0.152622,0.491659
89,0.0,18.0,0.13897,0.406473
90,1.0,9.0,0.202753,0.523967
91,1.0,10.0,0.007748,0.208392
92,1.0,11.0,0.00684,0.225705
93,1.0,12.0,0.295192,0.370311
94,1.0,13.0,0.195872,0.456108
95,1.0,14.0,0.342803,0.469528
96,1.0,15.0,0.15379,0.406918
97,1.0,16.0,0.183885,0.349136
98,1.0,17.0,0.025972,0.338017
99,1.0,18.0,0.02695,0.393512
100,0.0,9.0,0.009192,0.22723
101,0.0,10.0,0.133715,0.33768
102,0.0,11.0,0.035844,0.350483
103,0.0,12.0,0.199738,0.380919
104,0.0,13.0,0.472862,0.399753
105,0.0,14.0,0.193587,0.404747
106,0.0,15.0,0.129052,0.384964
107,0.0,16.0,0.023857,0.340316
108,0.0,17.0,0.152814,0.367745
109,0.0,18.0,0.025297,0.295343
110,1.0,9.0,0.044654,0.450416
111,1.0,10.0,0.141612,0.339727
112,1.0,11.0,0.007036,0.245962
113,1.0,12.0,0.178242,0.382607
114,1.0,13.0,0.321929,0.38573
115,1.0,14.0,0.227759,0.542991
116,1.0,15.0,0.127715,0.402291
117,1.0,16.0,0.128246,0.371636
118,1.0,17.0,0.138443,0.376081
119,1.0,18.0,0.034437,0.415794
120,0.0,9.0,0.247878,0.533237
121,0.0,10.0,0.042455,0.482035
122,0.0,11.0,0.187492,0.450303
123,0.0,12.0,0.341045,0.445533
124,0.0,13.0,0.401831,0.447044
125,0.0,14.0,0.209783,0.339839
126,0.0,15.0,0.148919,0.388939
127,0.0,16.0,0.166537,0.407823
128,0.0,17.0,0.134504,0.370545
129,0.0,18.0,0.149222,0.347437
130,1.0,9.0,0.062744,0.384285
131,1.0,10.0,0.232161,0.347601
132,1.0,11.0,0.037668,0.386984
133,1.0,12.0,0.236154,0.369848
134,1.0,13.0,0.167328,0.415704
135,1.0,14.0,0.175142,0.412175
136,1.0,15.0,0.028548,0.424539
137,1.0,16.0,0.168365,0.386958
138,1.0,17.0,0.132407,0.361128
139,1.0,18.0,0.024356,0.406725
