,colormap,zoom level,COG,ZARR
0,0.0,6.0,0.114861,0.465039
1,0.0,7.0,0.092692,0.385487
2,0.0,8.0,0.130326,0.175182
3,0.0,9.0,0.053818,0.492328
4,0.0,10.0,0.243116,0.297717
5,0.0,11.0,0.139,0.246228
6,0.0,12.0,0.309703,0.294182
7,0.0,13.0,0.243387,0.265327
8,0.0,14.0,0.205481,0.398653
9,0.0,15.0,0.19654,0.415909
10,0.0,16.0,0.176746,0.405581
11,0.0,17.0,0.128762,0.334604
12,0.0,18.0,0.116325,0.391537
13,1.0,6.0,0.060426,0.156828
14,1.0,7.0,0.059273,0.159924
15,1.0,8.0,0.056535,0.273105
16,1.0,9.0,0.070283,0.252406
17,1.0,10.0,0.054135,0.181522
18,1.0,11.0,0.179614,0.417027
19,1.0,12.0,0.175943,0.318726
20,1.0,13.0,0.309779,0.340513
21,1.0,14.0,0.250728,0.26672
22,1.0,15.0,0.131707,0.623966
23,1.0,16.0,0.207672,0.391746
24,1.0,17.0,0.124242,0.288481
25,1.0,18.0,0.126431,0.266477
26,2.0,6.0,0.103038,0.381855
27,2.0,7.0,0.055174,0.168515
28,2.0,8.0,0.05347,0.210567
29,2.0,9.0,0.058165,0.231097
30,2.0,10.0,0.059253,0.17021
31,2.0,11.0,0.139486,0.353385
32,2.0,12.0,0.205692,0.273783
33,2.0,13.0,0.225286,0.345243
34,2.0,14.0,0.207534,0.361225
35,2.0,15.0,0.201932,0.255855
36,2.0,16.0,0.113278,0.370471
37,2.0,17.0,0.132124,0.403788
38,2.0,18.0,0.122061,0.384159
39,3.0,6.0,0.058124,0.174405
40,3.0,7.0,0.136413,0.473934
41,3.0,8.0,0.058989,0.23098
42,3.0,9.0,0.17616,0.461533
43,3.0,10.0,0.170515,0.420576
44,3.0,11.0,0.094762,0.242061
45,3.0,12.0,0.208711,0.421582
46,3.0,13.0,0.189245,0.310814
47,3.0,14.0,0.130961,0.325174
48,3.0,15.0,0.122589,0.385648
49,3.0,16.0,0.144186,0.389036
50,3.0,17.0,0.106116,0.372179
51,3.0,18.0,0.114949,0.310833
52,4.0,6.0,0.092395,0.349293
53,4.0,7.0,0.099366,0.376026
54,4.0,8.0,0.05728,0.178292
55,4.0,9.0,0.057757,0.171173
56,4.0,10.0,0.065067,0.179329
57,4.0,11.0,0.05747,0.199889
58,4.0,12.0,0.158847,0.418761
59,4.0,13.0,0.146774,0.289435
60,4.0,14.0,0.131517,0.257266
61,4.0,15.0,0.122319,0.28868
62,4.0,16.0,0.132673,0.336775
63,4.0,17.0,0.110622,0.279091
64,4.0,18.0,0.120141,0.290878
65,5.0,6.0,0.09648,0.406091
66,5.0,7.0,0.110377,0.3717
67,5.0,8.0,0.05604,0.171117
68,5.0,9.0,0.055602,0.189517
69,5.0,10.0,0.056831,0.162559
70,5.0,11.0,0.223798,0.29616
71,5.0,12.0,0.155488,0.311822
72,5.0,13.0,0.149433,0.447865
73,5.0,14.0,0.148478,0.268672
74,5.0,15.0,0.130214,0.35035
75,5.0,16.0,0.11377,0.395043
76,5.0,17.0,0.117204,0.300751
77,5.0,18.0,0.141553,0.295018
78,6.0,6.0,0.060452,0.175447
79,6.0,7.0,0.064539,0.171567
80,6.0,8.0,0.056979,0.169433
81,6.0,9.0,0.288335,0.394083
82,6.0,10.0,0.058395,0.166841
83,6.0,11.0,0.153422,0.370793
84,6.0,12.0,0.168766,0.448959
85,6.0,13.0,0.102468,0.301342
86,6.0,14.0,0.158222,0.245555
87,6.0,15.0,0.128815,0.467201
88,6.0,16.0,0.145951,0.376363
89,6.0,17.0,0.131405,0.38212
90,6.0,18.0,0.139245,0.281839
91,7.0,6.0,0.106086,0.377675
92,7.0,7.0,0.056595,0.193457
93,7.0,8.0,0.058138,0.238507
94,7.0,9.0,0.061133,0.180969
95,7.0,10.0,0.200425,0.295163
96,7.0,11.0,0.157097,0.269158
97,7.0,12.0,0.153823,0.392921
98,7.0,13.0,0.310019,0.344441
99,7.0,14.0,0.174031,0.301637
100,7.0,15.0,0.140113,0.310807
101,7.0,16.0,0.118472,0.356264
102,7.0,17.0,0.133288,0.294347
103,7.0,18.0,0.082182,0.252339
104,8.0,6.0,0.05564,0.162622
105,8.0,7.0,0.056977,0.175528
106,8.0,8.0,0.059267,0.258608
107,8.0,9.0,0.066202,0.189433
108,8.0,10.0,0.139082,0.406374
109,8.0,11.0,0.25253,0.426668
110,8.0,12.0,0.175641,0.282908
111,8.0,13.0,0.286091,0.357111
112,8.0,14.0,0.131408,0.303937
113,8.0,15.0,0.138952,0.318268
114,8.0,16.0,0.124849,0.341378
115,8.0,17.0,0.113502,0.365301
116,8.0,18.0,0.124807,0.25216
117,9.0,6.0,0.095281,0.365872
118,9.0,7.0,0.11112,0.527577
119,9.0,8.0,0.057563,0.176462
120,9.0,9.0,0.055323,0.180032
121,9.0,10.0,0.059838,0.169855
122,9.0,11.0,0.094435,0.264457
123,9.0,12.0,0.248026,0.380926
124,9.0,13.0,0.176611,0.311587
125,9.0,14.0,0.178541,0.322137
126,9.0,15.0,0.079461,0.409184
127,9.0,16.0,0.167651,0.334192
128,9.0,17.0,0.142232,0.350296
129,9.0,18.0,0.086155,0.373993
130,10.0,6.0,0.090496,0.326074
131,10.0,7.0,0.055013,0.174557
132,10.0,8.0,0.103655,0.292018
133,10.0,9.0,0.056286,0.179397
134,10.0,10.0,0.15256,0.322385
135,10.0,11.0,0.127616,0.290113
136,10.0,12.0,0.176029,0.377672
137,10.0,13.0,0.143443,0.336321
138,10.0,14.0,0.250329,0.310093
139,10.0,15.0,0.129393,0.311734
140,10.0,16.0,0.080036,0.387178
141,10.0,17.0,0.089134,0.335908
142,10.0,18.0,0.112807,0.246459
143,11.0,6.0,0.052177,0.172634
144,11.0,7.0,0.136875,0.365074
145,11.0,8.0,0.050581,0.258786
146,11.0,9.0,0.053072,0.166968
147,11.0,10.0,0.054506,0.2453
148,11.0,11.0,0.134539,0.354944
149,11.0,12.0,0.310972,0.369395
150,11.0,13.0,0.178412,0.295141
151,11.0,14.0,0.165935,0.349688
152,11.0,15.0,0.133168,0.2908
153,11.0,16.0,0.138979,0.270611
154,11.0,17.0,0.125513,0.324069
155,11.0,18.0,0.083194,0.258622
156,0.0,6.0,0.057626,0.173339
157,0.0,7.0,0.059724,0.186726
158,0.0,8.0,0.058661,0.177973
159,0.0,9.0,0.077349,0.288377
160,0.0,10.0,0.137278,0.436577
161,0.0,11.0,0.178444,0.424059
162,0.0,12.0,0.28415,0.609483
163,0.0,13.0,0.312973,0.399516
164,0.0,14.0,0.091346,0.3286
165,0.0,15.0,0.136216,0.319761
166,0.0,16.0,0.204427,0.382663
167,0.0,17.0,0.123578,0.31274
168,0.0,18.0,0.110125,0.289251
169,1.0,6.0,0.060871,0.174137
170,1.0,7.0,0.094321,0.314125
171,1.0,8.0,0.058522,0.18532
172,1.0,9.0,0.065954,0.234788
173,1.0,10.0,0.153964,0.347959
174,1.0,11.0,0.123755,0.36412
175,1.0,12.0,0.158942,0.287852
176,1.0,13.0,0.128202,0.326465
177,1.0,14.0,0.177675,0.388314
178,1.0,15.0,0.076766,0.340288
179,1.0,16.0,0.115911,0.335008
180,1.0,17.0,0.12849,0.344356
181,1.0,18.0,0.093841,0.341049
182,2.0,6.0,0.058072,0.170132
183,2.0,7.0,0.104495,0.399182
184,2.0,8.0,0.050744,0.209258
185,2.0,9.0,0.057237,0.168584
186,2.0,10.0,0.132877,0.388562
187,2.0,11.0,0.213194,0.357185
188,2.0,12.0,0.136511,0.306001
189,2.0,13.0,0.169937,0.382946
190,2.0,14.0,0.17065,0.244984
191,2.0,15.0,0.136061,0.327892
192,2.0,16.0,0.119057,0.277795
193,2.0,17.0,0.114303,0.286168
194,2.0,18.0,0.07989,0.306426
195,3.0,6.0,0.068312,0.172649
196,3.0,7.0,0.057469,0.294473
197,3.0,8.0,0.060019,0.190254
198,3.0,9.0,0.061857,0.159461
199,3.0,10.0,0.139442,0.247761
200,3.0,11.0,0.139417,0.312717
201,3.0,12.0,0.160299,0.316098
202,3.0,13.0,0.284715,0.492103
203,3.0,14.0,0.133755,0.371057
204,3.0,15.0,0.145653,0.383346
205,3.0,16.0,0.120254,0.29546
206,3.0,17.0,0.116996,0.368973
207,3.0,18.0,0.120362,0.295602
208,4.0,6.0,0.098973,0.291506
209,4.0,7.0,0.055572,0.159303
210,4.0,8.0,0.096969,0.257402
211,4.0,9.0,0.185349,0.425946
212,4.0,10.0,0.141398,0.410879
213,4.0,11.0,0.299576,0.376127
214,4.0,12.0,0.167997,0.300781
215,4.0,13.0,0.16638,0.314798
216,4.0,14.0,0.087422,0.365891
